,,,HOW TO USE THIS FILE
,,,Above the below table are indicated the sample sizes of the null hypotheses used to generate it
,,,as well as the number of independent simulations of the null hypothesis used.
,,,"To find the p-value corresponding to your MIC score, look for the largest number less than your"
,,,score in the left-hand column. The p-value of your score is at most the number in the middle
,,,column of that row + the uncertainty listed in the right column of the same row.

,,,**Note that these p-values are uncorrected. This means that you must correct the p-value you
,,,obtain here to account for the number of tests you performed. We suggest doing this by
,,,controlling the false discovery rate.

n = 35, numTrials = 30000000
MIC >= x,gives p <= y,+/- (with 95% confidence)
0.703860,0.000154945,0.000004454
0.703730,0.000155201,0.000004458
0.703340,0.000155969,0.000004469
0.703280,0.000156481,0.000004476
0.702650,0.000157249,0.000004487
0.702540,0.000158786,0.000004509
0.702420,0.000159042,0.000004512
0.702200,0.000168262,0.000004641
0.701050,0.000169543,0.000004659
0.700760,0.000169799,0.000004663
0.700420,0.000170311,0.000004670
0.700100,0.000170823,0.000004677
0.699900,0.000171591,0.000004687
0.699760,0.000171848,0.000004691
0.699690,0.000172104,0.000004694
0.699570,0.000182348,0.000004832
0.699470,0.000183116,0.000004842
0.699230,0.000183628,0.000004849
0.698570,0.000183885,0.000004852
0.697480,0.000184141,0.000004855
0.697370,0.000184909,0.000004866
0.697320,0.000185165,0.000004869
0.696910,0.000186958,0.000004892
0.696720,0.000187470,0.000004899
0.696670,0.000187726,0.000004902
0.696660,0.000188238,0.000004909
0.696530,0.000188494,0.000004913
0.695360,0.000189263,0.000004923
0.694150,0.000189519,0.000004926
0.693980,0.000189775,0.000004929
0.693780,0.000190543,0.000004939
0.693490,0.000192848,0.000004969
0.692990,0.000194385,0.000004989
0.692790,0.000195153,0.000004999
0.692780,0.000195409,0.000005002
0.692120,0.000195665,0.000005005
0.691710,0.000196434,0.000005015
0.691460,0.000196946,0.000005021
0.691030,0.000197970,0.000005034
0.690940,0.000198227,0.000005038
0.690930,0.000198995,0.000005047
0.690640,0.000199507,0.000005054
0.690540,0.000202324,0.000005090
0.690470,0.000202580,0.000005093
0.690010,0.000217178,0.000005273
0.689850,0.000217691,0.000005279
0.689730,0.000218203,0.000005285
0.689270,0.000218715,0.000005292
0.688650,0.000219483,0.000005301
0.688610,0.000219739,0.000005304
0.688450,0.000220508,0.000005313
0.688070,0.000221532,0.000005326
0.687790,0.000222557,0.000005338
0.687420,0.000223069,0.000005344
0.687000,0.000235106,0.000005486
0.686100,0.000235618,0.000005492
0.684940,0.000236130,0.000005498
0.684900,0.000236899,0.000005507
0.684560,0.000252777,0.000005689
0.684020,0.000254314,0.000005706
0.683820,0.000254826,0.000005712
0.683440,0.000255851,0.000005723
0.682050,0.000256107,0.000005726
0.681710,0.000256875,0.000005735
0.681460,0.000259948,0.000005769
0.681290,0.000260460,0.000005774
0.681140,0.000277107,0.000005956
0.679890,0.000277876,0.000005964
0.679840,0.000279156,0.000005978
0.678860,0.000279412,0.000005981
0.678730,0.000280181,0.000005989
0.678650,0.000281461,0.000006003
0.678290,0.000284278,0.000006033
0.678120,0.000286071,0.000006052
0.676640,0.000286839,0.000006060
0.676630,0.000287864,0.000006071
0.676580,0.000288120,0.000006073
0.676540,0.000289400,0.000006087
0.675840,0.000290425,0.000006097
0.675340,0.000291193,0.000006106
0.675260,0.000291705,0.000006111
0.674060,0.000292474,0.000006119
0.673790,0.000294267,0.000006138
0.673490,0.000295291,0.000006148
0.673410,0.000296059,0.000006156
0.672990,0.000296828,0.000006164
0.672950,0.000297596,0.000006172
0.672860,0.000317572,0.000006376
0.672670,0.000319109,0.000006391
0.672240,0.000319877,0.000006399
0.672210,0.000320133,0.000006402
0.672090,0.000324487,0.000006445
0.671210,0.000324743,0.000006448
0.670560,0.000325768,0.000006458
0.670380,0.000326536,0.000006465
0.670140,0.000327048,0.000006470
0.670020,0.000327816,0.000006478
0.670010,0.000328329,0.000006483
0.669820,0.000329353,0.000006493
0.669070,0.000330121,0.000006501
0.668900,0.000333195,0.000006531
0.668770,0.000334219,0.000006541
0.668650,0.000358293,0.000006772
0.668360,0.000359062,0.000006780
0.668000,0.000359318,0.000006782
0.667380,0.000359830,0.000006787
0.666960,0.000360342,0.000006792
0.666880,0.000363415,0.000006821
0.666610,0.000365464,0.000006840
0.666120,0.000366489,0.000006849
0.666090,0.000367513,0.000006859
0.665850,0.000368281,0.000006866
0.665480,0.000369818,0.000006880
0.665110,0.000393124,0.000007094
0.664850,0.000393636,0.000007098
0.664770,0.000398758,0.000007144
0.664230,0.000400039,0.000007156
0.664190,0.000400807,0.000007163
0.663940,0.000401319,0.000007167
0.663830,0.000402600,0.000007179
0.663730,0.000404136,0.000007192
0.663650,0.000404905,0.000007199
0.663450,0.000426161,0.000007386
0.663370,0.000426418,0.000007388
0.662920,0.000427442,0.000007397
0.662530,0.000428466,0.000007406
0.662260,0.000428723,0.000007408
0.661920,0.000430259,0.000007421
0.661250,0.000433332,0.000007448
0.661020,0.000438711,0.000007494
0.660480,0.000439479,0.000007500
0.660180,0.000441016,0.000007513
0.660140,0.000442296,0.000007524
0.659780,0.000442808,0.000007528
0.659600,0.000444089,0.000007539
0.659400,0.000444345,0.000007542
0.659300,0.000445882,0.000007555
0.659140,0.000451260,0.000007600
0.658660,0.000451516,0.000007602
0.658320,0.000451772,0.000007604
0.658240,0.000452028,0.000007606
0.658210,0.000453565,0.000007619
0.658200,0.000458431,0.000007660
0.657820,0.000459455,0.000007669
0.657810,0.000481737,0.000007852
0.657580,0.000483529,0.000007867
0.657290,0.000483785,0.000007869
0.657200,0.000484042,0.000007871
0.657160,0.000484810,0.000007877
0.657040,0.000485578,0.000007884
0.657010,0.000487115,0.000007896
0.656550,0.000500688,0.000008005
0.656090,0.000501201,0.000008009
0.655350,0.000501457,0.000008011
0.655070,0.000501713,0.000008013
